operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,500,10485760,16
WRITE,BlockByBlockWithBufferedStream,50,10485760,25
WRITE,BlockByBlockWithBufferedStream,5,10485760,56
WRITE,ByteByByteWithBufferedStream,0,10485760,226
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,62
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,416
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,3662
WRITE,ByteByByteWithoutBufferedStream,0,10485760,16780
READ,BlockByBlockWithBufferedStream,500,10485760,9
READ,BlockByBlockWithBufferedStream,50,10485760,13
READ,BlockByBlockWithBufferedStream,5,10485760,24
READ,ByteByByteWithBufferedStream,0,10485760,56
READ,BlockByBlockWithoutBufferedStream,500,10485760,24
READ,BlockByBlockWithoutBufferedStream,50,10485760,214
READ,BlockByBlockWithoutBufferedStream,5,10485760,2050
READ,ByteByByteWithoutBufferedStream,0,10485760,9855
